Latin Word,POS,English Meaning,Urdu Meaning
abdo,Verb,remove,ہٹا دیں
abeo,Verb,depart,روانہ
abno,Verb,no,نہیں
acco,Verb,send for,کے لیے بھیجیں
aceo,Verb,be sour,کھٹا ہونا
acer,Adjective,maple tree,میپل کا درخت
acuo,Verb,whet,وہ
addo,Verb,add,شامل کریں
adfo,Verb,speak to,سے بات کریں
adno,Verb,swim to,تیرنا
ador,Verb,coarse grain,موٹے اناج
adpo,Verb,apo,apo
adso,Verb,be near,قریب ہونا
adto,Verb,go to,پر جائیں
adua,Adjective,adua,adua
afer,Adjective,African,افریقی
affo,Verb,speak to,سے بات کریں
ageo,Verb,drive,ڈرائیو
alba,Adjective,white,سفید
albo,Verb,make white,سفید بنائیں
aleo,Verb,feed,کھانا کھلانا
alio,Verb,feed,کھانا کھلانا
alis,Adjective,wings,پنکھ
allo,Verb,allo,allo
aloe,Verb,aloe,مسببر
alto,Verb,raise,اٹھانا
aluo,Verb,I eat,میں کھاتا ہوں۔
ango,Verb,choke,گلا گھونٹنا
anno,Verb,pass,پاس
anus,Adjective,old (of female persons and things),بوڑھا (خواتین افراد اور چیزوں کا)
apio,Verb,fasten,جکڑنا
appo,Verb,app,ایپ
apso,Verb,be away,دور ہو
apto,Verb,adapt,موافقت
aquo,Verb,get,حاصل کریں
arco,Verb,ward,وارڈ
areo,Verb,plow,ہل
armo,Verb,equip,لیس کرنا
arro,Verb,arro,arro
arto,Verb,wedge in,میں پچر
arus,Verb,arus,عروس
asso,Verb,be near,قریب ہونا
asto,Adjective,stand at,کھڑے ہو جاؤ
asty,Verb,city (esp. Athens),شہر (خاص طور پر ایتھنز)
ater,Adjective,black,سیاہ
atto,Verb,at the same time,ایک ہی وقت میں
auco,Verb,observe attentively,غور سے دیکھیں
augo,Verb,increase,اضافہ
auis,Verb,birds,پرندے
auro,Verb,gild,سونا
aveo,Verb,hail,اولے
avus,Adjective,grandfather,دادا
ayma,Adjective,ayma,آئمہ
balo,Verb,bleat,بلیٹ
bebo,Verb,bleat,بلیٹ
belo,Verb,bleat,بلیٹ
beto,Verb,go,جاؤ
bibo,Verb,drink,پینا
bigo,Verb,bigo,بگو
bimo,Verb,bimo,bimo
bino,Verb,duplicate,نقل
bito,Verb,go,جاؤ
boos,Verb,boos,boos
bovo,Verb,cry aloud,زور سے رونا
brum,Adjective,winter,موسم سرما
bubo,Verb,cry like a bittern (bird that booms,کڑوی کی طرح رونا (پرندے جو اُچھلتا ہے۔
buta,Verb,buta,بوٹا
buxa,Verb,box,باکس
caco,Verb,defecate,پاخانہ
cado,Verb,fall,گر
caio,Verb,beat,مارو
calo,Verb,announce,اعلان
cano,Verb,sing,گانا
capo,Verb,capon,کیپون
caro,Verb,be without,بغیر ہونا
cauo,Verb,I am careful,میں محتاط ہوں۔
cavo,Verb,beware,خبردار
cedo,Verb,go,جاؤ
celo,Verb,conceal,چھپانا
ceno,Verb,dine,کھانا
cepo,Verb,onion,پیاز
cero,Verb,smear,سمیر
char,Verb,edible root,کھانے کے قابل جڑ
cibo,Verb,feed,کھانا کھلانا
cido,Verb,I fall,میں گرتا ہوں۔
cieo,Verb,move,منتقل
cito,Verb,urge on,پر زور
cluo,Verb,be called,بلایا جائے
coan,Verb,coan,کوان
coco,Verb,cook,پکانا
cogo,Verb,collect,جمع
colo,Verb,strain,تناؤ
como,Verb,arrange,بندوبست
cono,Verb,attempt,کوشش
coor,Verb,heart,دل
coph,Verb,qof,qof
copo,Verb,shopkeeper,دکاندار
cora,Adjective,heart,دل
cous,Adjective,of,کی
cras,Adjective,tomorrow,کل
creo,Verb,create,بنائیں
cubo,Verb,lie (down,لیٹنا
cudo,Verb,beat,مارو
culo,Verb,drive,ڈرائیو
