Latin Word,POS
abacor,Verb
abbibo,Verb
abbito,Verb
abdico,Verb
abduco,Verb
aberro,Verb
abfluo,Verb
abhinc,Adjective
abicio,Verb
abigeo,Verb
abilis,Adjective
abiuro,Verb
abjugo,Verb
abjuro,Verb
ablaco,Verb
ablego,Verb
abloco,Verb
abludo,Verb
abnato,Verb
abnego,Verb
abnodo,Verb
abnueo,Verb
abnuto,Verb
aboleo,Verb
abolla,Verb
aborto,Verb
aborus,Adjective
abrado,Verb
abrodo,Verb
abrogo,Verb
absono,Verb
abstus,Adjective
absumo,Verb
abundo,Verb
accano,Verb
accedo,Verb
accido,Verb
accieo,Verb
accino,Verb
accolo,Verb
accubo,Verb
accudo,Verb
accuro,Verb
accuso,Verb
acedio,Adjective
acerao,Verb
acerbo,Verb
acerus,Adjective
acervo,Verb
acesco,Verb
acidus,Adjective
acinax,Verb
acnuus,Adjective
aconus,Adjective
actito,Verb
actuus,Adjective
acutio,Adjective
acutus,Adjective
adaero,Verb
adaggo,Verb
adamus,Verb
adapto,Verb
adaquo,Verb
adarca,Verb
adarco,Verb
adarus,Verb
adauco,Verb
adbibo,Verb
adbito,Verb
adcedo,Verb
adcolo,Adjective
adcubo,Verb
adcudo,Verb
adcuro,Verb
addeco,Verb
addico,Verb
adduco,Verb
adeona,Adjective
aderro,Verb
adesco,Verb
adesus,Adjective
adfero,Verb
adfigo,Verb
adfleo,Verb
adfluo,Verb
adfons,Verb
adfrio,Verb
adgemo,Verb
adgero,Verb
adhalo,Verb
adhamo,Verb
adicio,Verb
adindo,Verb
adiuro,Verb
adiuuo,Verb
adiuvo,Verb
adjugo,Verb
adjuro,Verb
adjuto,Verb
adjuvo,Verb
adlabo,Verb
adlavo,Verb
adlego,Verb
adlevo,Verb
adlido,Verb
adligo,Verb
adlino,Verb
adludo,Verb
adluus,Verb
admeus,Verb
admiro,Verb
adnato,Verb
adnego,Verb
adnigo,Verb
adnito,Verb
adnodo,Verb
adnoto,Verb
adnuto,Verb
adnuus,Verb
adoleo,Verb
adopto,Verb
adoreo,Verb
adorno,Verb
adparo,Verb
adpeto,Verb
adpono,Verb
adrado,Verb
adrepo,Verb
adrigo,Verb
adripo,Verb
adrodo,Verb
adrogo,Verb
adroro,Verb
adsaio,Verb
adsero,Verb
adsido,Verb
adsolo,Verb
adsono,Verb
adspuo,Verb
adsugo,Verb
adsumo,Verb
adsuus,Adjective
adtero,Verb
adtexo,Verb
adtigo,Verb
adtono,Verb
adtrao,Verb
adtulo,Verb
adueho,Verb
adulor,Verb
adulus,Adjective
adveco,Verb
adveho,Verb
advelo,Verb
advero,Verb
advivo,Verb
advoco,Verb
advolo,Verb
adzelo,Verb
aegreo,Verb
aegror,Verb
aemulo,Verb
aeneus,Adjective
aequor,Verb
aequus,Adjective
aercus,Adjective
aereus,Adjective
aerius,Adjective
aestuo,Verb
affero,Verb
affigo,Verb
affleo,Verb
affluo,Verb
affrio,Verb
agamus,Adjective
aggemo,Verb
aggero,Verb
agilis,Adjective
agnino,Adjective
agonio,Verb
agrius,Adjective
ahenus,Adjective
alacer,Adjective
alaris,Adjective
alatus,Adjective
alaudo,Verb
albeps,Adjective
albico,Verb
albuel,Adjective
alceus,Adjective
alesco,Verb
algeus,Adjective
alicus,Adjective
alieno,Verb
alifer,Adjective
aliger,Adjective
alipio,Verb
allabo,Verb
allaco,Verb
allavo,Verb
allcio,Verb
allego,Verb
allevo,Verb
allido,Verb
alligo,Verb
allino,Verb
alloco,Verb
alludo,Verb
alneus,Adjective
alogus,Adjective
alosus,Adjective
alsius,Adjective
aluceo,Verb
alumno,Verb
alypon,Verb
amando,Verb
amarus,Adjective
amasco,Verb
amatus,Adjective
ambedo,Verb
ambigo,Verb
ambulo,Verb
amburo,Verb
amento,Verb
amicio,Verb
amicus,Adjective
amigro,Verb
amitto,Verb
ammiro,Verb
amoeba,Verb
amoeno,Verb
amolus,Adjective
amoveo,Verb
amplio,Verb
amplus,Adjective
amputo,Verb
amtruo,Verb
amussa,Verb
analis,Adjective
anamis,Adjective
ananus,Adjective
anceps,Adjective
anculo,Verb
andabo,Verb
andruo,Verb
angrus,Adjective
angulo,Verb
anhelo,Verb
anilis,Adjective
annato,Verb
anncio,Verb
annego,Verb
annigo,Verb
annito,Verb
annodo,Verb
annono,Verb
annont,Verb
annoto,Verb
annuto,Verb
annuus,Adjective
anteno,Verb
anthia,Adjective
antruo,Verb
anxius,Adjective
aorior,Verb
apalus,Adjective
apello,Verb
aperio,Verb
aperno,Verb
aperto,Verb
aphros,Verb
apicor,Verb
apicus,Adjective
apisco,Verb
aporio,Verb
aporis,Adjective
aposto,Verb
apparo,Verb
appeto,Verb
appono,Verb
apputo,Verb
aprico,Verb
apsono,Verb
apsumo,Verb
aqueus,Adjective
araneo,Verb
aratro,Verb
arcens,Verb
arcera,Verb
arctus,Adjective
arculo,Verb
arduus,Adjective
arduvo,Verb
aresco,Verb
arguto,Verb
aridus,Adjective
arieto,Verb
ariolo,Verb
arpina,Adjective
arrepo,Verb
arrigo,Verb
arrodo,Verb
arrogo,Verb
arroro,Verb
artius,Adjective
arveho,Verb
ascius,Verb
asinus,Adjective
asotus,Adjective
aspero,Verb
aspiro,Verb
